#,compilation,track,label,discogs,listen_url,listen_status,found_via
1,Plosives: An Introduction To Ghost Nun,Easy Concessions,Ghost Nun,https://www.discogs.com/release/23533040-Various-Plosives-An-Introduction-To-Ghost-Nun,https://ghostnunmusic.bandcamp.com/,label,opnxng.com SearXNG
2,Warm Music For Cold Weather: For the Muscular Dystrophy Association,Oh! Alas! Christmas!,New Shagg Plus,https://www.discogs.com/release/29280184-Various-Warm-Music-For-Cold-Weather-For-the-Muscular-Dystrophy-Association,,unresolved (Discogs only),—
3,Shadowlands 4,Seroquel Coma,Owlripper Recordings,https://www.discogs.com/release/28865734-Various-Shadowlands-4,https://owlripperrecordings.bandcamp.com/album/comp27-shadowlands-4,confirmed,opnxng.com SearXNG
4,Christmasasaurus Unleashed!,The Reindeers Are Running,Not On Label (Christmasasaurus),https://www.discogs.com/release/33603147-Various-Christmasasaurus-Unleashed,https://christmasasaurus.bandcamp.com/,label,opnxng.com SearXNG
5,Harsh Noise Wall Means Fight Back: Smash Gay Oppression,Cisgender Replacement Therapy (CRT),Delirium Psychosis Productions,https://www.discogs.com/release/27529131-Various-Harsh-Noise-Wall-Means-Fight-Back-Smash-Gay-Oppression,https://ennaytch.bandcamp.com/album/harsh-noise-wall-means-fight-back-smash-gay-oppression,confirmed,opnxng.com SearXNG
6,Esoterrexus - A Slithering Black Compilation,R’lyeh’s Xenolith,Slithering Black Records,https://www.discogs.com/release/28653841-Various-Esoterrexus-A-Slithering-Black-Compilation,https://slitheringblackrecords.bandcamp.com/,label,opnxng.com SearXNG
7,ArrhythNia Digital Net Label Compilation 4: Experimental Music And Noise,The Day That You Killed Yourself,arrhythNia Records,https://www.discogs.com/release/30238304-Various-ArrhythNia-Digital-Net-Label-Compilation-4-Experimental-Music-And-Noise,https://arrhythniarecords.bandcamp.com/album/arrhythnia-digital-net-label-compilation-4-experimental-music-and-noise-anr122,confirmed,opnxng.com SearXNG
8,42 Seconds #7,Plumbus Overture,Owlripper Recordings,https://www.discogs.com/release/32706429-Various-42-Seconds-7,https://owlripperrecordings.bandcamp.com/,label,opnxng.com SearXNG
9,One World,Moving in Perpetual Slumber,Petroglyph Music,https://www.discogs.com/release/35745076-Various-One-World,https://petroglyphmusic.bandcamp.com/,label,opnxng.com SearXNG
10,Thirteenth Quarterly Report Of Argali Records Netlabel: Æther Corruption,Weaponized Apathy,Argali Records,https://www.discogs.com/release/33641268-Various-Thirteenth-Quarterly-Report-Of-Argali-Records-Netlabel-%C3%86ther-Corruption,https://argalirecordsnetlabel.bandcamp.com/,label,opnxng.com SearXNG
11,Fourteenth Quarterly Report Of Argali Records Netlabel: The Great Reconnection,Pivot And Deflect,Argali Records,https://www.discogs.com/release/34207969-Various-Fourteenth-Quarterly-Report-Of-Argali-Records-Netlabel-The-Great-Reconnection,https://argalirecordsnetlabel.bandcamp.com/album/fourteenth-quarterly-report-of-argali-records-netlabel-the-great-reconnection,confirmed,opnxng.com SearXNG
12,Sixteenth Quarterly Report: Our Just Desserts,Vibroscriptorium,Argali Records,https://www.discogs.com/release/35943793-Various-Sixteenth-Quarterly-Report-Our-Just-Desserts,https://argalirecordsnetlabel.bandcamp.com/,label,opnxng.com SearXNG
13,Exquisite Tones For Oozing Ears - Vol. II,Pyrogenesis,Corn On The Cob Music (Shack in the Barley Productions),https://www.discogs.com/release/33883035-Various-Exquisite-Tones-For-Oozing-Ears-Vol-II,https://shackinthebarleyproductions.bandcamp.com/,label,opnxng.com SearXNG
14,Echoes Of Ancient Wrath,Anti-Sanity Phase,Dodendans,https://www.discogs.com/release/37767543-Various-Echoes-Of-Ancient-Wrath,https://dodendans.bandcamp.com/album/dd049-v-a-echoesofancientwrath,confirmed,opnxng.com SearXNG
15,1 Year Anniversary,Dome Collapse,The Elements Of Tech & Bass Recordings,https://www.discogs.com/release/35696575-Various-1-Year-Anniversary,,unresolved (Discogs only),—
16,Experiments on the Witch House,The Høuse FΩrgøt Its Name / Hex Ritual,Inner Demons / Dawn Of Darkness,https://www.discogs.com/release/35531737-Various-Experiments-on-the-Witch-House,https://internetdaemon.bandcamp.com/,label,opnxng.com SearXNG (Dawn of Darkness)
17,LSD666,Pivot And Deflect,LOUDsilence,https://www.discogs.com/release/34195165-Various-LSD666,https://loudsilencedigital.bandcamp.com/,label,opnxng.com SearXNG
18,Harsh Noise Corpus Vol. 4 (International Harsh Noise Compilation),track credit (grouped master),The Hills Are Dead Records,https://www.discogs.com/master/4006543-Various-Harsh-Noise-Corpus-Vol4-International-Harsh-Noise-Compilation,https://thehillsaredead.bandcamp.com/album/harsh-noise-corpus-vol-4,confirmed,opnxng.com SearXNG
19,Solidarity: A Benefit Compilation for the ACLU,Pivot and Deflect,Voidstar Productions,https://www.discogs.com/release/33736134-Various-Solidarity-A-Benefit-Compilation-for-the-ACLU,https://voidstarproductions.bandcamp.com/album/solidarity-phase-ii-a-benefit-compilation-for-the-aclu,confirmed,opnxng.com SearXNG
20,Beyond The Body,Vox Hemorrhagia,Witch-House (label),https://www.discogs.com/release/34128706-Various-Beyond-The-Body,https://witch-house.bandcamp.com/album/beyond-the-body,confirmed,opnxng.com SearXNG
21,Dissonance Index Vol. 1,Pyrogenesis,The Vanishing Point Syndicate (Zazie’s own netlabel),https://www.discogs.com/release/33890583-Various-Dissonance-Index-Vol-1,https://thevanishingpointsyndicate.bandcamp.com/album/dissonance-index-vol-1,confirmed,opnxng.com SearXNG
22,DOSTOIVSKI,No God to witness no crime to prove,Plataforma Recs,https://www.discogs.com/release/34149232-Various-DOSTOIVSKI,https://plataformarecs.bandcamp.com/,label,opnxng.com SearXNG
23,Thinning Veil Compilation,Moving in Perpetual Slumber,Ingrown Records,https://www.discogs.com/release/35567218-Various-Thinning-Veil-Compilation,https://ingrown.bandcamp.com/,label,opnxng.com SearXNG
24,Icelock Continuum,Frost Directive XIII (Broadcast Leak ID: BLZRD-741),Camembert Électrique,https://www.discogs.com/release/36016036-Various-Icelock-Continuum,https://camembertelectrique.bandcamp.com/album/icelock-continuum,confirmed,opnxng.com SearXNG
25,Late Night Love Letters,I Love Everything About You,Utopia District,https://www.discogs.com/release/37333392-Various-Late-Night-Love-Letters,https://utopiadistrict.bandcamp.com/album/late-night-love-letters,confirmed,opnxng.com SearXNG
26,One String,Wire Psalm,Ensemble For Sound Poetry And Contemporary Music,https://www.discogs.com/release/35645056-EFSPACM-One-String,https://ensembleforsoundpoetryandcontemporarymusic.bandcamp.com/,label,opnxng.com SearXNG
