Section,EntryNo,RegisterEntry,LinkList,LinkDisplay,Status,Notes
"Section 1 — Music Releases, Performances, Placements & Press",1,Sellotape (Super Deluxe Edition),https://zazieproductions.bandcamp.com/album/sellotape-super-deluxe-edition,zazieproductions.bandcamp.com (https://zazieproductions.bandcamp.com/album/sellotape-super-deluxe-edition),linked,
"Section 1 — Music Releases, Performances, Placements & Press",2,Anesthesia for the Signal Age,https://zazieproductions.bandcamp.com/album/anesthesia-for-the-signal-age,zazieproductions.bandcamp.com (https://zazieproductions.bandcamp.com/album/anesthesia-for-the-signal-age),linked,
"Section 1 — Music Releases, Performances, Placements & Press",3,Murmur Ring (Harsh Noise Corpus Vol. 5),https://thehillsaredead.bandcamp.com/album/harsh-noise-corpus-vol-5,thehillsaredead.bandcamp.com/album/harsh-noise-corpus-vol-5 (https://thehillsaredead.bandcamp.com/album/harsh-noise-corpus-vol-5),linked,
"Section 1 — Music Releases, Performances, Placements & Press",4,Checksum Failed Successfully (Two Years),https://loudsilencedigital.bandcamp.com/album/two-years,loudsilencedigital.bandcamp.com/album/two-years (https://loudsilencedigital.bandcamp.com/album/two-years),linked,
"Section 1 — Music Releases, Performances, Placements & Press",5,Frida and the Broken Column (Frida Kahlo),https://plataformarecs.bandcamp.com/album/v-a-frida-kahlo,"plataformarecs.bandcamp.com/album/v-a-frida-kahlo (https://plataformarecs.bandcamp.com/album/v-a-frida-kahlo) — track 8 ""Zazie Productions - Frida and the Broken Column""",linked,
"Section 1 — Music Releases, Performances, Placements & Press",6,The Høuse FΩrgøt Its Name / Hex Ritual (Summoning 1),https://dittanyofcrete.bandcamp.com/album/summoning-1 ; https://internetdaemon.bandcamp.com/album/experiments-on-the-witch-house-selected-tracks,dittanyofcrete.bandcamp.com/album/summoning-1 (https://dittanyofcrete.bandcamp.com/album/summoning-1) · internetdaemon.bandcamp.com/album/experiments-on-the-witch-house-selected-tracks (https://internetdaemon.bandcamp.com/album/experiments-on-the-witch-house-selected-tracks),linked,
"Section 1 — Music Releases, Performances, Placements & Press",7,Pyrogenesis (Noise Around the World 14),https://plataformarecs.bandcamp.com/album/v-a-noise-around-the-world-14,"plataformarecs.bandcamp.com/album/v-a-noise-around-the-world-14 (https://plataformarecs.bandcamp.com/album/v-a-noise-around-the-world-14) — track 14 ""Zazie Productions - Pyrogenesis""",linked,
"Section 1 — Music Releases, Performances, Placements & Press",8,Weaponized Apathy (Psych Against Cancer Vol. 3 Pt 2),https://psychlovers.bandcamp.com/album/psych-against-cancer-vol-3-part-2,psychlovers.bandcamp.com/album/psych-against-cancer-vol-3-part-2 (https://psychlovers.bandcamp.com/album/psych-against-cancer-vol-3-part-2),linked,
"Section 1 — Music Releases, Performances, Placements & Press",9,Vibroscriptorium (SHARDS // Vol. 1),https://z-dimension.bandcamp.com/album/shards-vol-1,z-dimension.bandcamp.com/album/shards-vol-1 (https://z-dimension.bandcamp.com/album/shards-vol-1),linked,
"Section 1 — Music Releases, Performances, Placements & Press",10,Club Silencio Acoustic Survey (Music Inspired by Mulholland Drive),https://internetdaemon.bandcamp.com,internetdaemon.bandcamp.com (https://internetdaemon.bandcamp.com),label,
