record_id,target,url,title,platform,category,evidence_class,evidence,confidence,source_reliability,release_date,archive_url,relationship,in_repo,last_checked
ZP26-001,A,https://thevanishingpointsyndicate.bandcamp.com/album/dissonance-index-vol-1-various-artists,Dissonance Index Vol. 1 (Various Artists) | The Vanishing Point Syndicate,Bandcamp,music/netlabel_compilation,verified_live,"Page fetched 2026-09-05. Track 1 listed as 'Zazie Productions - Pyrogenesis' (01:43). Label about: 'Vanishing Point Syndicate is a new netlabel dedicated to experimental sound...'. Released May 2, 2025. 105-track compilation.",96,high,2025-05-02,,Netlabel run by the artist; track 'Pyrogenesis' is a Zazie Productions contribution. Album credits reference PR ON THE GO and telegra.ph writeups (both in repo).,False,2026-09-05
ZP26-002,A,https://thevanishingpointsyndicate.bandcamp.com/track/pyrogenesis,Pyrogenesis | Zazie Productions | The Vanishing Point Syndicate,Bandcamp,music/track_page,verified_live,"Page fetched 2026-09-05. H2: 'Zazie Productions - Pyrogenesis', 'from Dissonance Index Vol. 1 (Various Artists)', released May 2, 2025.",96,high,2025-05-02,,Individual track page for the netlabel's first track; artist credited as Zazie Productions.,False,2026-09-05
ZP26-003,B,https://909deadbatteries.bandcamp.com/album/909-dead-batteries-winter-2025,909 Dead Batteries Winter 2025 | 909 Dead Batteries,Bandcamp,music/compilation,verified_live,"Page fetched 2026-09-05. Track 7: 'Zazie Kanwar-Torge - Frost Directive XIII (Broadcast Leak ID_ BLZRD_-_741)' (01:39). Label 909 Dead Batteries, Upland, California; released January 2, 2026. Free-download chiptune/nerdcore/synth compilation.",96,high,2026-01-02,https://web.archive.org/web/20260107204655/https://909deadbatteries.bandcamp.com/album/909-dead-batteries-winter-2025,"Release under the personal name (Target B), not the artist name (Target A). Wayback capture 2026-01-07 (200).",False,2026-09-05
ZP26-004,B,https://909deadbatteries.bandcamp.com/track/frost-directive-xiii-broadcast-leak-id-blzrd-741,Frost Directive XIII (Broadcast Leak ID_ BLZRD_-_741) | Zazie Kanwar-Torge | 909 Dead Batteries,Bandcamp,music/track_page,verified_live,"Page fetched 2026-09-05. H2: 'Zazie Kanwar-Torge - Frost Directive XIII (Broadcast Leak ID_ BLZRD_-_741)'. About section links zazieproductions.bandcamp.com and linktr.ee/zazieproductions. Released January 2, 2026.",96,high,2026-01-02,https://web.archive.org/web/20260107204655/https://909deadbatteries.bandcamp.com/album/909-dead-batteries-winter-2025,Track page; personal-name credit. Page's own links tie it to the Zazie Productions artist ecosystem.,False,2026-09-05
ZP26-005,A,https://camembertelectrique.bandcamp.com/album/shippai,SHIPPAI | Various Artists | Camembert Électrique,Bandcamp,music/compilation,verified_live,Page fetched 2026-09-05. Bandcamp search (2026-09-05) shows track 31: 'Zazie Productions - Grief is a Hot Commodity' and credits section: 'Zazie Productions (US): https://zazieproductions.bandcamp.com linktr.ee/zazieproductions'. Compiled by Sábila Orbe (2026).,95,high,2026,,Zazie Productions appears as contributing artist on a third-party compilation; track 'Grief is a Hot Commodity' is from 'To Halt Space Adrift' (2023).,False,2026-09-05
ZP26-006,A,https://arrhythniarecords.bandcamp.com/album/amnesia-x-zazie-productions-oliver-sch-ffler-split-anr124,Amnesia X Zazie Productions / Oliver Schöffler Split (aNr124),Bandcamp,music/split_release,verified_live,"Page fetched 2026-09-05. H2: 'Amnesia X Zazie Productions / Oliver Schöffler Split (aNr124)'; featured track 'Amnesia X Zazie Productions - Gloom'. Label arrhythNia Records (New York), released April 12, 2024.",96,high,2024-04-12,,Split with Amnesia (59) and Oliver Schöffler on arrhythNia Records; same release exists as Discogs release 36415555 (see ZP26-032).,False,2026-09-05
ZP26-007,A,https://zazieproductions.bandcamp.com/album/g7e-torpedo,G7e Torpedo | Zazie Productions,Bandcamp,music/album,verified_live,"Page fetched 2026-09-05. 'G7e Torpedo by Zazie Productions', released October 11, 2019; 6 tracks; sample credits listed; about text signed 'Zazie Productions'.",95,high,2019-10-11,,Album page on the artist's own Bandcamp store (store root is in repo; this URL is new). Page also displays the full 18-release discography block used as evidence for ZP26-015..ZP26-021.,False,2026-09-05
ZP26-008,A,https://zazieproductions.bandcamp.com/album/to-halt-space-adrift,To Halt Space Adrift | Zazie Productions,Bandcamp,music/album,verified_platform_index,"Bandcamp search index (fetched 2026-09-05) lists 'To Halt Space Adrift by Zazie Productions' (8 tracks, released 02 May 2023); web-search snippet of the page shows full tracklist and 'by Zazie Productions'.",90,high,2023-05-02,,2023 album; track 'Pivot and Deflect' also appears on lessthanone.bandcamp.com (in repo).,False,2026-09-05
ZP26-009,A,https://zazieproductions.bandcamp.com/album/constrained-capacity,Constrained Capacity | Zazie Productions,Bandcamp,music/album,verified_platform_index,"Bandcamp search index (2026-09-05): 'Constrained Capacity by Zazie Productions', 10 tracks, released May 6, 2022. Deezer API snippet shows per-track credits 'Composers: Zazie Kanwar-Torge'.",90,high,2022-05-06,,Album page new; also catalogued as Discogs release 35541229 (ZP26-031).,False,2026-09-05
ZP26-010,A,https://zazieproductions.bandcamp.com/album/interference-archive-01010101,Interference Archive 01010101 | Zazie Productions,Bandcamp,music/ep,verified_platform_index,"Bandcamp search + JSON-LD on the page (via search snippet, 2026-09-05): albumRelease 'Interference Archive 01010101', byArtist 'Zazie Productions', datePublished 2021-09-08 / released May 2022; 5 tracks.",90,high,2022-05-19,,EP; iTunes catalog lists the same EP (ZP26-033).,False,2026-09-05
