ClusterID,CanonicalURL,DuplicateURLs,Type,Status,Notes
DUP-001,https://www.imdb.com/name/nm17333332,"https://www.imdb.com/name/nm17333332/ | https://www.imdb.com/name/nm17333332",Exact duplicate / trailing-slash,Collapsed,"Single master record; both variants in seed dump counted once"
DUP-002,https://thechurchofnoisygoat.bandcamp.com/album/synthetic-dystopia,"https://thechurchofnoisygoat.bandcamp.com/album/synthetic-dystopia?fbclid=IwQ0xDSwKgb3tleHRuA2FlbQIxMQABHpL0WjXcy2ukM3NEIOxikggYulJUFbnHv76JsrXzy9szuGlt8PVf7KoFQwTK_aem_pM4TRpPuSUjfWUHgyfUA4Q",Tracking-param duplicate,Collapsed,"fbclid param stripped; not a distinct magazine feature"
DUP-003,https://loudsilencedigital.bandcamp.com/album/lsd100,"https://loudsilencedigital.bandcamp.com/album/lsd100?fbclid=IwZXh0bgNhZW0CMTEAAR3PU1T1BVT98ilQAkflCmmo6Btd_jHLH11ULjUqVLOl9uc4y3KSsY3oCXY_aem_ue-lklpTegFf53H6srfiJQ",Tracking-param duplicate,Collapsed,"Not magazine feature; collapsed"
DUP-004,https://www.rangermagazine.net/zazie_issue4,"https://www.rangermagazine.net/issue4 (issue index entry for same feature)",Issue index vs dedicated page,Clustered — same feature,Canonical is dedicated page /zazie_issue4; issue index is contents listing pointing to canonical,Not counted separately per spec
DUP-005,https://www.soundsgoodwebzine.com/zazie-productions-cant-get-my-eyes-off-you-123/,"https://www.soundsgoodwebzine.com/tag/zazie-productions/ (tag archive)",Tag vs article,Clustered — tag excluded,Tag is automated mirror of article; only article is Tier A feature
DUP-006,https://allevents.in/event/100001021724965877,https://allevents.in/mobile/amp-event.php?event_id=100001021724965877,AMP vs canonical,Collapsed,Not magazine feature; collapsed in ledger
DUP-007,https://www.rsssearchhub.com/feed/1185189bcc80cd02d670a3aaae58ebf3/city-portland-mercury,https://www.portlandmercury.com/i-anonymous/2024/08/22/47371644/thank-you-to-all-the-tortur,Mirror / RSS scrape,Clustered — mirror excluded,Mirror not counted as distinct editorial feature
DUP-008,https://superpresent.org/wp-content/uploads/2024/06/V4N3-pdf.pdf,"https://superpresent.org/current-issue/ (HTML landing for same issue) | https://indd.adobe.com/view/a12d7d20-c73e-43c6-9d35-93f19613af14 (Adobe InDesign view)",Same issue different view,Clustered — same feature,HTML landing + Adobe view are same Vol.4 No.3 issue; PDF is canonical feature evidence; not separate features
DUP-009,https://pronthego.com/pages/blog/art-pr-expanding-artistic-reach-through-digital-exhibitions,https://pronthego.com/pages/blog/art-pr-expanding-artistic-reach-through-digital-exhibitions?amp=1|print=1,RSS/AMP/print variants,Collapsed,Not distinct features
DUP-010,https://www.blackmountaincollege.org/broadcast-bmc-radio-artist-zazie-productions/,"https://www.blackmountaincollege.org/2021-black-mountain-college-radio-art/ (roster listing pointing to same)",Roster vs dedicated feature,Clustered — dedicated feature is canonical,Roster page lists Zazie among 5 artists; dedicated page is Tier A feature; not duplicate feature
