ID,Target,FeatureStatus,Tier,Publication,FeatureTitle,Format,Date,Link,ArchiveLink,SourceType,Author,ExactPhrase,ExactRoleContext,WhyQualifies,EvidenceExcerpt,EvidenceLocation,LiveStatus,Reliability,Confidence,DiscoveryMethod_Query,SearchSystems,Novelty,DuplicateCluster,RelatedMasterIDs
ZKT4-002,Zazie Kanwar-Torge + Zazie Productions,Previously documented but newly verified feature,Tier A,BillboardWire,How an Underground Experimental Musician Became a Go-To Composer for Psychological Horror,Profile / feature article,2026-06-12,https://billboardwire.com/how-an-underground-experimental-musician-became-a-go-to-composer-for-psychological-horror/,https://webcache.googleusercontent.com/search?q=cache:https://billboardwire.com/how-an-underground-experimental-musician-became-a-go-to-composer-for-psychological-horror/,Music publication / online magazine,Ethan Walker,Zazie Kanwar-Torge / Zazie Productions,"Zazie Kanwar-Torge, the composer and sound designer behind Zazie Productions — lead sentence, plus image caption and tags",Dedicated profile centered on target with direct quote and IMDb/demo-reel callouts (~600 words),"Zazie Kanwar-Torge, the composer and sound designer behind Zazie Productions, learned how to engineer uncertainty.",headline / lead sentence / image alt / tag list,live,Independent magazine,99,"Direct fetch + web_search ""Zazie Productions"" magazine + ""Zazie Productions"" interview",web_search+direct fetch,Not new — Media Master Press-02,Single canonical,Media Master Press-02
ZKT4-003,Zazie Kanwar-Torge / Zazie Productions,Previously documented feature,Tier A,Lake Ivan Film Journal,Spinning in the Wildness: Phantom Requiem — Full-length critical review,Review,2025-03-24,https://lakeivanfilmjournal.org/spinning-in-the-wildness-phantom-requiem,,Film journal / review periodical,David Finkelstein (per master),Zazie Kanwar-Torge (Zazie Productions),PHANTOM REQUIEM by Zazie Kanwar-Torge (Zazie Productions) — credited director/subject,Substantial review of work explicitly connected to target — full critical essay,PHANTOM REQUIEM by Zazie Kanwar-Torge (Zazie Productions),headline / byline credits,live (search-index verified),Independent journal,94,FilmFreeway cross-link + Media Master lookup,Seed+master,Not new — Media Master Press-08,Single,Media Master Press-08
ZKT4-001,Zazie Kanwar-Torge,Previously documented but newly verified feature,Tier A,Pulitzer Center,"Zazie Kanwar-Torge, Finalist, Local Letters for Global Change",Essay / published letter (byline),2020,https://pulitzercenter.org/zazie-kanwar-torge-finalist-local-letters-global-change,https://web.archive.org/web/20260905000000*/https://pulitzercenter.org/zazie-kanwar-torge-finalist-local-letters-global-change,Journalistic nonprofit / cultural institution publication,Zazie Kanwar-Torge,Zazie Kanwar-Torge,"My name is Zazie Kanwar-Torge. I live in Asheville… — open letter to Senator Thom Tillis on HB142, published as contest finalist",Published writing visibly authored by target — headline is exact name + byline + bio,My name is Zazie Kanwar-Torge. I live in Asheville and I am a student at Francine Delany New School…,headline / byline / bio footer,live,Institutional,100,"Seed triage + direct fetch; also surfaced via ""Zazie Kanwar-Torge"" magazine (web_search depth 3)",Seed+web_search+direct fetch,Not new — in Media Master p9 Pub-02,Single canonical,Media Master Pub-02
ZP4-009,Zazie Productions,Previously documented feature,Tier A,Limitless Magazine,Forget ASMR. Zazie Productions Will Rewire Your Whole Nervous System — Album feature/review,Feature article / review,2026-06-12,https://limitless-magazine.com/forget-asmr-zazie-productions-will-rewire-your-whole-nervous-system/,,Magazine,,Zazie Productions,Dedicated album feature on Anesthesia for the Signal Age — target is primary subject,Magazine article that gives target substantial coverage,Forget ASMR. Zazie Productions Will Rewire Your Whole Nervous System (headline),headline (Linktree + master confirm),live (search-index verified),Independent magazine,94,"Master + Linktree + web_search ""Zazie Productions"" ""Limitless Magazine""",Seed+master,Not new — Media Master Press-01,Single,Media Master Press-01
ZP4-008,Zazie Productions,Previously documented feature,Tier A,Grammy Weekly,Zazie Productions: The Underground Polymath Redefining Experimental Music — Dedicated artist profile,Profile / feature,2025-12-12,https://grammyweekly.com/zazie-productions-the-underground-polymath-redefining-experimental-music/,,Music magazine / editorial publication,,Zazie Productions,"Headline is exact target — dedicated career overview profile citing 10 albums, 25 stories, etc.",Magazine feature centered on target — full career profile,Zazie Productions: The Underground Polymath Redefining Experimental Music,headline (search-index verified),live but partially inaccessible (HTTP 500 2026-09-05),Independent magazine,93,"Linktree + web_search ""Zazie Productions"" ""Grammy Weekly""",Seed+master,Not new — Media Master Press-03,Single,Media Master Press-03
ZP4-007,Zazie Productions,Previously documented but newly verified feature,Tier A,SHOCK WEB RADIO,Zazie Productions y el experimento sonoro que desafía la lógica: ‘CAN’T GET MY EYES OFF YOU (123)’,Feature article / interview-quote feature,2025-03-17,https://shockwebradio.com/musica/zazie-productions-y-el-experimento-sonoro-que-desafia-la-logica-cant-get-my-eyes-off-you-123/,,Independent music / culture magazine,,Zazie Productions,"En un mundo donde la música parece seguir fórmulas predecibles, Zazie Productions irrumpe… — lead + direct quote block",Dedicated single feature — editorial + direct quote + bio paragraph tracing Satie/Cage lineage,Zazie Productions irrumpe con una propuesta imposible de encasillar. Su más reciente lanzamiento…; Quería ver qué pasaba si reducía todo a la compulsión pura…,headline / lead paragraph / quote block / body bio / tag,live,Independent magazine,99,Direct fetch,Master+direct fetch,Not new — Media Master Press-06,Single,Media Master Press-06
ZP4-004,Zazie Productions,Previously documented feature,Tier A,HEAVY Magazine,ZAZIE PRODUCTIONS Unleash Eclectic Single ‘Can’t Get My Eyes Off You (123)’,Music news / single feature,2025-02-18,https://heavymag.com.au/zazie-productions-unleash-eclectic-single-cant-get-my-eyes-off-you-123/,,Magazine / music publication,,Zazie Productions,Headline is exact target — dedicated single feature announcing release with cover art/bio,"Dedicated single feature — substantive release editorial, headline is exact phrase",ZAZIE PRODUCTIONS Unleash Eclectic Single ‘Can’t Get My Eyes Off You (123)’,headline (search-index + Linktree confirm),live (search-index verified; host not resolvable from sandbox),Independent magazine,95,"Linktree + FilmFreeway cross-link + web_search ""ZAZIE PRODUCTIONS Unleash Eclectic Single""",Seed+master,Not new — Media Master Press-04,Single,Media Master Press-04
ZP4-006,Zazie Productions,Previously documented record reclassified as a feature (seed → Tier A) + newly verified,Tier A,Soundsgood Webzine,Zazie Productions – “Can’t Get My Eyes Off You (123)”,Review / feature article,2025-02-18,https://www.soundsgoodwebzine.com/zazie-productions-cant-get-my-eyes-off-you-123/,,Independent music webzine,Soundsgoodwebzine (Groover Reviews/Articles),Zazie Productions,"Zazie Productions, il poliedrico autistico clandestino di Asheville… + tag/Spotify embed attribution","Dedicated webzine review — headline is target + track, Italian editorial 400+ words + evaluative paragraph + embed","Zazie Productions, il poliedrico autistico clandestino di Asheville, passa senza soluzione di continuità…; denota come Zazie Productions , sappia trasmettere…",headline / body intro / evaluative paragraph / embed attribution,live,Independent webzine,98,"Seed dump + direct fetch + web_search ""Zazie Productions"" ""soundsgoodwebzine""",Seed+direct fetch,Seed-only before — not in master 25 press table; reclassified to Tier A this pass,Cluster: tag page is mirror (excluded),Seed (no master ID)
ZP4-005,Zazie Productions,Previously documented but newly verified feature,Tier A,Indie AM,Reseña: Zazie Productions y Unwashed Miscreant rompen esquemas con ‘Can’t Get My Eyes Off You (123)’,Review,2025-02-08,https://indieam.com.mx/2025/02/08/resena-zazie-productions-y-unwashed-miscreant-rompen-esquemas-con-cant-get-my-eyes-off-you-123/,,Independent music magazine,Alejandro Balcázar,Zazie Productions,Reseña headline + body: Zazie Productions: Entre el genio y el caos — section + direct quote,"Full dedicated Spanish-language review — 500+ words, section heading + track analysis",Zazie Productions y Unwashed Miscreant rompen esquemas (headline); Zazie Productions: Entre el genio y el caos (section heading),headline / body heading / body paragraphs,live,Independent magazine,100,"Direct fetch + web_search ""Zazie Productions"" magazine",web_search+direct fetch,Not new — Media Master Press-05,Single,Media Master Press-05
ZP4-003,Zazie Productions,Previously documented but newly verified feature,Tier A,Superpresent Magazine,Superpresent Vol. 4 No. 3 — Suture Disruption (Percussive) — Contributor / featured sound-art entry p.66,Issue PDF / contributor entry / sound-art entry,2024-06-18 (Vol.4 No.3 Summer 2024),https://superpresent.org/wp-content/uploads/2024/06/V4N3-pdf.pdf,https://web.archive.org/web/20260905*/https://superpresent.org/wp-content/uploads/2024/06/V4N3-pdf.pdf,Magazine / journal (ISSN 2767-5289),Kevin Clement (EIC) / David McClain / Alan Ainsworth / Andrew Potter,Zazie Productions,Zazie Productions | Suture Disruption (Percussive) entry in VIDEO/MUSIC toc + body description with vimeo/youtube/bandcamp links,Contributor page + published sound-art entry visibly listed in editorial capacity — TOC line + body entry p66,Zazie Productions | Suture Disruption (Percussive) | 66 (TOC); entry description: In the heart of an abandoned factory…,table of contents + body entry p.66,live (HTML + PDF),Independent magazine,99,"Seed + Media Master + web_search ""Zazie Productions"" ""Superpresent"" + direct PDF fetch",web_search+direct fetch,Not new — Media Master Press-24,Single,Media Master Press-24
