QueryID,ExactQuery,TargetPhraseVariant,Engine_Family,Date,ResultPagesChecked,TopRankOrHit,NewCanonicalFound,Outcome,Notes
Q001,"""Zazie Productions"" magazine",Zazie Productions,General web (web_search depth 3),2026-09-05,1-3,1-2 itch.io bio referencing HEAVY/Ranger/Superpresent,No,Visibility evidence only,Broad editorial search - no new feature
Q002,"""Zazie Kanwar-Torge"" magazine",Zazie Kanwar-Torge,General web depth 3,2026-09-05,1-2,LinkedIn pulitzer,No,No new feature,
Q003,"""Zazie Productions"" zine",Zazie Productions,General web depth 3,2026-09-05,1-3,itch.io + coinoperated call page,No,No new feature,Call page fetched — no phrase in body
Q004,"""Zazie Kanwar-Torge"" zine",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1-2,LinkedIn / pulitzer,No,No new feature,
Q005,"""Zazie Productions"" journal",Zazie Productions,General web depth 2,2026-09-05,1-2,FilmFreeway + Grammy Weekly,No,Visibility only,
Q006,"""Zazie Kanwar-Torge"" journal",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,No hits,,No,Negative,
Q007,"""Zazie Productions"" interview",Zazie Productions,General web depth 3,2026-09-05,1-3,BillboardWire + BMC,No,Visibility only,
Q008,"""Zazie Kanwar-Torge"" interview",Zazie Kanwar-Torge,General web depth 3,2026-09-05,1-3,Pulitzer + BMC + Pebbles,No,Visibility only,
Q009,"""Zazie Productions"" profile",Zazie Productions,General web depth 2,2026-09-05,1-2,BMC + FilmFreeway,,No new feature,
Q010,"""Zazie Kanwar-Torge"" profile",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Pulitzer + Hackaday,,No new feature,
Q011,"""Zazie Productions"" feature",Zazie Productions,General web depth 2,2026-09-05,1-2,Superpresent + Ranger,,No new feature,
Q012,"""Zazie Kanwar-Torge"" feature",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,No additional,,No new feature,
Q013,"""Zazie Productions"" spotlight",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q014,"""Zazie Kanwar-Torge"" spotlight",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q015,"""Zazie Productions"" review",Zazie Productions,General web depth 2,2026-09-05,1-2,Indie AM + Soundsgood,,No new feature,
Q016,"""Zazie Kanwar-Torge"" review",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Pebbles / Lake Ivan,,No new feature,
Q017,"""Zazie Productions"" essay",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q018,"""Zazie Kanwar-Torge"" essay",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q019,"""Zazie Productions"" ""artist spotlight""",Zazie Productions,General web depth 2,2026-09-05,1,Linktree bio line,No,No new feature,
Q020,"""Zazie Kanwar-Torge"" ""artist spotlight""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q021,"""Zazie Productions"" ""in conversation""",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q022,"""Zazie Kanwar-Torge"" ""in conversation""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q023,"""Zazie Productions"" ""Q&A""",Zazie Productions,General web depth 2,2026-09-05,1,SoundBetter profile Q&A (Tier D),No,Excluded as non-magazine,
Q024,"""Zazie Kanwar-Torge"" ""Q&A""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q025,"""Zazie Productions"" ""written by""",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q026,"""Zazie Kanwar-Torge"" ""written by""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Pulitzer letter byline,No,Visibility only,
Q027,"""Zazie Productions"" ""by Zazie Kanwar-Torge""",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q028,"""Zazie Kanwar-Torge"" ""by Zazie Kanwar-Torge""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q029,"""Zazie Productions"" ""film review""",Zazie Productions,General web depth 2,2026-09-05,1,Lake Ivan review,No,Visibility only,
Q030,"""Zazie Kanwar-Torge"" ""film review""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Lake Ivan review,No,Visibility only,
Q031,"""Zazie Productions"" ""music review""",Zazie Productions,General web depth 2,2026-09-05,1,Indie AM / Soundsgood,No,Visibility only,
Q032,"""Zazie Kanwar-Torge"" ""music review""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q033,"""Zazie Productions"" ""sound art""",Zazie Productions,General web depth 2,2026-09-05,1,Superpresent + BMC,No,Visibility only,
Q034,"""Zazie Kanwar-Torge"" ""sound art""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,BMC,No,Visibility only,
Q035,"""Zazie Productions"" ""experimental music""",Zazie Productions,General web depth 2,2026-09-05,1,Grammy Weekly + BillboardWire,No,Visibility only,
