CanonicalURL,Publication,FeatureID,Google_WebSearch,Bing,Yahoo,Brave,Marginalia,Mojeek,DirectSiteFetch,SiteRestrictedSearch,FiletypePDFSearch,ArchiveSearch,Notes
https://pulitzercenter.org/zazie-kanwar-torge-finalist-local-letters-global-change,Pulitzer Center,ZKT4-001,Hit via "Zazie Kanwar-Torge" magazine,snippet,snippet,not surfaced,not surfaced,snippet,Live verified via direct fetch,No,No,Wayback no extra,Already in master; visibility via general web
https://billboardwire.com/how-an-underground-experimental-musician-became-a-go-to-composer-for-psychological-horror/,BillboardWire,ZKT4-002,Hit via "Zazie Productions" magazine + interview,snippet,snippet,not surfaced,snippet,snippet,Live verified,No,No,not needed,Shared target; interview query also hit
https://lakeivanfilmjournal.org/spinning-in-the-wildness-phantom-requiem,Lake Ivan Film Journal,ZKT4-003,Hit via "Zazie Productions" "Lake Ivan",snippet,snippet,not surfaced,not surfaced,not surfaced,snippet via FilmFreeway,No,No,not needed,JS-gated; search-index only
https://limitless-magazine.com/forget-asmr-zazie-productions-will-rewire-your-whole-nervous-system/,Limitless Magazine,ZP4-009,Hit via "Zazie Productions" magazine,not checked,not checked,not surfaced,snippet,not surfaced,Not fetched (host inference),No,No,not needed,Linktree confirms
https://grammyweekly.com/zazie-productions-the-underground-polymath-redefining-experimental-music/,Grammy Weekly,ZP4-008,Hit via "Zazie Productions" magazine,snippet,snippet,not surfaced,not surfaced,not surfaced,Fetch 500 - search-index only,No,No,Wayback calendar 0,Live but partially inaccessible
https://shockwebradio.com/musica/zazie-productions-y-el-experimento-sonoro-que-desafia-la-logica-cant-get-my-eyes-off-you-123/,Shock Web Radio,ZP4-007,Hit via "Zazie Productions" feature,snippet,snippet,snippet,not surfaced,snippet,Live verified,No,No,not needed,LatAm host surfaced via Yahoo
https://www.soundsgoodwebzine.com/zazie-productions-cant-get-my-eyes-off-you-123/,Soundsgood Webzine,ZP4-006,Hit via seed + "soundsgoodwebzine" dork,snippet,snippet,not surfaced,not surfaced,not surfaced,Live verified,Yes (site dork negative for new tag),No,not needed,Seed → reclassified; site-restricted tag vs article
https://indieam.com.mx/2025/02/08/resena-zazie-productions-y-unwashed-miscreant-rompen-esquemas-con-cant-get-my-eyes-off-you-123/,Indie AM,ZP4-005,Hit via "Zazie Productions" review,snippet,snippet,snippet,not surfaced,snippet,Live verified,No,No,not needed,Spanish SERP high value
https://heavymag.com.au/zazie-productions-unleash-eclectic-single-cant-get-my-eyes-off-you-123/,HEAVY Magazine,ZP4-004,Hit via "ZAZIE PRODUCTIONS Unleash" query,snippet,snippet,not surfaced,not surfaced,not surfaced,Not resolvable (DNS),No,No,Wayback 0,Linktree + FilmFreeway visibility
https://superpresent.org/wp-content/uploads/2024/06/V4N3-pdf.pdf,Superpresent Magazine,ZP4-003,Hit via "Zazie Productions" "Superpresent" + filetype:pdf magazine,snippet,snippet,snippet,Hit (Marginalia old indie),snippet,Live verified PDF + HTML,No,Yes (filetype:pdf magazine hit),not needed,Strong publication-type evidence
https://www.rangermagazine.net/zazie_issue4,Ranger Magazine,ZP4-002,Hit via "Zazie Productions" "Ranger Magazine",snippet,snippet,snippet,Hit,not surfaced,Live verified,No,No,not needed,Both issue index and dedicated page verified
https://www.blackmountaincollege.org/broadcast-bmc-radio-artist-zazie-productions/,BMC Museum,ZP4-001,Hit via "Zazie Productions" "Black Mountain College",snippet,snippet,not surfaced,not surfaced,not surfaced,Live verified,No,No,not needed,Institutional publication
https://www.viralnation.com/blog/what-creators-really-want-from-brands-in-2025/,Viral Nation,ZKT4-004,Hit via LinkedIn repost search,not checked,not checked,not surfaced,not surfaced,not surfaced,snippet only,No,No,not needed,Snippet only in sandbox
https://pronthego.com/pages/blog/art-pr-expanding-artistic-reach-through-digital-exhibitions,PR ON THE GO,ZKT4-005,Hit via "Zazie Kanwar-Torge" contributor,not checked,not checked,not surfaced,not surfaced,not surfaced,snippet only,Yes (site dork visible via LinkedIn),No,not needed,Cluster of 5
https://pronthego.com/pages/blog/how-film-festivals-can-help-a-film-attract-media-attention,PR ON THE GO,ZKT4-006,same,snippet,snippet,not surfaced,not surfaced,not surfaced,snippet only,Yes,No,not needed,same cluster
https://pronthego.com/pages/blog/sights-and-sounds-aesthetic-identities-of-indie-musicians,PR ON THE GO,ZKT4-007,same,snippet,snippet,not surfaced,not surfaced,not surfaced,snippet only,Yes,No,not needed,
https://pronthego.com/pages/blog/this-is-how-rebellious-alternative-fashion-is-making-its-way-back-into-society,PR ON THE GO,ZP4-010,same,snippet,snippet,not surfaced,not surfaced,not surfaced,snippet only,Yes,No,not needed,
https://pronthego.com/pages/blog/when-algorithms-imitate-art,PR ON THE GO,ZP4-011,same,snippet,snippet,not surfaced,not surfaced,not surfaced,snippet only,Yes,No,not needed,
https://popfantasma.com.br/radar-shape-samuel-james-e-outros-sons-que-chegaram-pelo-groover/,Pop Fantasma,ZP4-012,Hit via "Zazie Productions" "Pop Fantasma",snippet,snippet,not surfaced,not surfaced,not surfaced,snippet only,No,No,not needed,Roundup
