N,RepoURL,What,HTTPStatus
1,https://zazieproductions.bandcamp.com/,store root; 18-release discography now displays 2026 additions,200
2,https://groover.co/en/influencer/profile/0.zazie-productions/,,200
3,https://viberate.com/artist/zazie-productions/,,200
4,https://bandmix.com/zazieproductions/,,200
5,https://wfcn.co/profile/zazie.productions,,200
6,https://castingcall.club/zazieproductions,canonical -> /m/zazieproductions,200
7,https://soundbetter.com/profiles/614805-zazie-productions,,200
8,https://songstats.com/artist/mljz9dxu/zazie-kanwar-torge,Target B,200
9,https://www.discogs.com/artist/11354435-Zazie-Productions,62 appearances,200
10,https://pebblesunderground.art/video/phantom-requiem/,"""A.K.A"" identity statement still live; Wayback: 5 captures 2025-01-22 -> 2026-06-07",200
11,https://www.visualcontainer.tv/pebbles-underground-summer-2024-award-winners-winter-2024-award-winners/,both names; JURY SPECIAL MENTION,200
