TimestampUTC,URL,ProbeURL,Method,QueryOrNavigation,HTTPStatus,ExactPhraseFound,NameRendering,LiveStatusTag,Outcome,Notes
2026-09-15T00:00:00Z,https://www.smashwords.com/profile/view/ZazieKanwar-Torge,,fetch_page,direct fetch of the submitted URL,200,Yes,Zazie Kanwar-Torge (hyphen),live,worked,"author profile: member since 14 March 2026; contributor line of ""Are you really awake?"" (published 30 April 2026, 67,410 words, $1.99)"
2026-09-15T00:00:00Z,https://www.flickchart.com/professional/zazie-kanwar-torge,,fetch_page,direct fetch of the submitted URL,200,Yes,Zazie Kanwar-Torge (hyphen),live,worked,"heading, biography (""also known as Zazie Productions""), born 1 April 2006; Films For Freedom (2025, director) and Expire (2025, sound designer)"
2026-09-15T00:00:00Z,https://artfacts.net/artist/zazie-kanwar-torge/analytics,,fetch_page,direct fetch of the submitted URL,200,Lead-grade,Zazie Kanwar-torge (lower-case t),live-partial,worked,"subscription wall: every analytics panel replaced by ""You're currently on the Free plan and need a subscription to see more""; claim-profile prompt present"
2026-09-15T00:00:00Z,https://artfacts.net/artist/zazie-kanwar-torge,,fetch_page,re-opened the parent artist record already held by the master index,200,Lead-grade,Zazie Kanwar-torge (lower-case t),live,worked,"ranking Top 1,000,000 Global; 1 verified group exhibition (Muslab 2025: Mantra - El Arte De Sanar, 24-28 Nov 2025, Quito); existing master row updated"
2026-09-15T00:00:00Z,https://gaana.com/artist/zazie-kanwar-torge,,fetch_page,direct fetch of the submitted URL,200,Yes,Zazie Kanwar-Torge (hyphen),live,worked,"templated bio with an unfilled {language} placeholder; top song ""Dome Collapse"" (03:09) on the album 1 YEAR ANNIVERSARY"
2026-09-15T00:00:00Z,https://gaana.com/artist/zazie-productions,,fetch_page,followed the artist link on the Kanwar-Torge page,200,Yes,Zazie Productions (space),live,worked,"second Gaana persona; same single track ""Dome Collapse"" / 1 YEAR ANNIVERSARY"
2026-09-15T00:00:00Z,https://www.exibart.com/artista-curatore-critico-arte/zazie-kanwar-torge/,,fetch_page,direct fetch of the submitted URL,200,Yes,Zazie Kanwar-Torge (hyphen),live,worked,artist-curator-critic index page listing the exhibitions and events concerning the artist
2026-09-15T00:00:00Z,https://www.exibart.com/evento-arte/pebbles-underground-festival-the-freedom-to-control/,,fetch_page,followed the event link on the exibart artist index,200,Yes,Zazie Kanwar-Torge (Zazie Productions),live,worked,"roster line: ""Zazie Kanwar-Torge (Zazie Productions) | USA (2024)""; VISUALCONTAINER[.BOX], Milan, 20 September 2025"
2026-09-15T00:00:00Z,https://film-makerscoop.com/screenings/films-for-freedom-presented-by-the-film-makers-cooperative-a,,fetch_page,re-opened the master row marked unverified,200,Yes,Zazie Kanwar-Torge (hyphen),live,worked,"featured-filmmaker list of 100+ artists; screening 21 Nov 12:00 pm, online, with Canyon Cinema for Fall of Freedom; full film at vimeo.com/1139067947"
2026-09-15T00:00:00Z,https://www.tickettailor.com/events/motherof/2336870,,fetch_page,re-checked the master row marked verified,200,Yes,Composer - Zazie Kanwar-Torge,live,worked,"page now reads ""SWINEWOMB | SECOND COMING"" with a September 2026 run at The West End Theater; Creative Team credit unchanged"
2026-09-15T00:00:00Z,https://www.standaardboekhandel.be/c/contributor/zazie-kanwar-torge-086ea63e,,fetch_page,direct fetch of the submitted URL (filter parameters stripped to the canonical contributor page),200,Yes,Zazie Kanwar-Torge (hyphen),live,worked,"1 result - e-book ""Are you really awake?"" (EUR 1.99, English) with the 24-name contributor line"
2026-09-15T00:00:00Z,https://clananalogue.bandcamp.com/album/stories-from-the-field,,fetch_page,direct fetch of the submitted URL,200,Yes,Zazie Productions - Appliance Suite in D minor,live,worked,13-track compilation released 11 September 2026; Clan Analogue (founded Sydney 1992); executive producer Martin K. Koszolko; launch at MPavilion Melbourne 12 September 2026
2026-09-15T00:00:00Z,https://clananalogue.bandcamp.com/track/appliance-suite-in-d-minor,,fetch_page,followed the tracklist link on the album page,200,Yes,Zazie Kanwar-Torge (credits) + Zazie Productions (title),live,worked,"""Written and produced by Zazie Kanwar-Torge"" plus a signed statement about the appliances sampled (vacuum, power drill, washer/dryer, kitchen sink, dishwasher)"
2026-09-15T00:00:00Z,https://mywebar.com/blog/ar-packaging-results-case-studies/,,fetch_page,direct fetch of the submitted URL,200,Lead-grade,Zazie Kanwar-Torge (en dash U+2013),lead,worked,"English edition: creative technologist quoted on an Austin cold-brew can activation (23,000 units, 17,400 unique scans, 4.2 repeat visits, +19% social shares, 41 s dwell); outbound link to the LinkedIn profile"
2026-09-15T00:00:00Z,https://jp.mywebar.com/blog/news/ar-packaging-results-case-studies/,,fetch_page,localised-edition cross-check (English article renders the name with an en dash),200,Yes,Zazie Kanwar-Torge (hyphen),live,worked,Japanese edition dated 03.03.2026 in the JP blog listing; exact hyphenated name inside the body copy - this is the countable row
2026-09-15T00:00:00Z,https://artfacts.net/exhibition/muslab-2025-mantra-el-arte-de-sanar-muslab-mexico-city-2025,,fetch_page,followed the PREVIOUS SHOW link on the ArtFacts artist record,200,Not confirmed,name not rendered (roster behind login),lead,partial,"exhibition record dated 24-28 November 2025 (Quito, Ecuador); artist roster, ranking and venue panels did not render for an anonymous fetch"
2026-09-15T00:00:00Z,,https://www.clananalogue.org/featured/record-your-stories-from-the-field/,fetch_page,open-submission call for the same compilation (lead check),200,No,no exact name on the call page,lead,negative,"submission call dated 21 November 2024 with a 14 March 2025 deadline; no artist list published, so no second record"
